product_id,advertiser_id,industry,category,price
PRDT_149,ADV017,Sports,Running Shoes,115.45
PRDT_150,ADV017,Sports,Sportswear,124.27
PRDT_151,ADV020,Electronics,Laptops,2453.59
PRDT_152,ADV012,Electronics,Smartphones,922.81
PRDT_153,ADV007,Fashion,Clothing,90.83
PRDT_154,ADV002,Sports,Sportswear,25.64
PRDT_155,ADV003,Fashion,Shoes,279.65
PRDT_156,ADV017,Sports,Sportswear,139.49
PRDT_157,ADV005,Electronics,Smartphones,528.89
PRDT_158,ADV017,Sports,Running Shoes,154.31
PRDT_159,ADV017,Sports,Sportswear,29.81
PRDT_160,ADV017,Sports,Sportswear,41.61
PRDT_161,ADV002,Sports,Fitness Equipment,131.9
PRDT_162,ADV002,Sports,Sportswear,58.28
PRDT_163,ADV005,Electronics,Laptops,2491.25
PRDT_164,ADV001,Electronics,Headphones,284.83
PRDT_165,ADV001,Electronics,Headphones,166.0
PRDT_166,ADV019,Sports,Running Shoes,160.57
PRDT_167,ADV002,Sports,Running Shoes,187.29
PRDT_168,ADV012,Electronics,Laptops,2413.28
PRDT_169,ADV006,Sports,Sportswear,27.52
PRDT_170,ADV004,Electronics,Headphones,169.92
PRDT_171,ADV011,Electronics,Smartphones,338.78
PRDT_172,ADV017,Sports,Fitness Equipment,187.76
PRDT_173,ADV006,Sports,Fitness Equipment,109.75
PRDT_174,ADV005,Electronics,Laptops,1758.38
PRDT_175,ADV020,Electronics,Headphones,167.54
PRDT_176,ADV002,Sports,Sportswear,49.82
PRDT_177,ADV006,Sports,Sportswear,54.57
PRDT_178,ADV011,Electronics,Smartphones,668.45
PRDT_179,ADV016,Fashion,Accessories,55.69
PRDT_180,ADV016,Fashion,Clothing,121.51
PRDT_181,ADV001,Electronics,Laptops,467.86
PRDT_182,ADV009,Electronics,Laptops,987.5
PRDT_183,ADV006,Sports,Sportswear,73.46
PRDT_184,ADV016,Fashion,Accessories,122.54
PRDT_185,ADV003,Fashion,Shoes,103.16
PRDT_186,ADV020,Electronics,Headphones,70.61
PRDT_187,ADV004,Electronics,Smartphones,299.06
PRDT_188,ADV019,Sports,Running Shoes,191.08
PRDT_189,ADV003,Fashion,Shoes,142.49
PRDT_190,ADV019,Sports,Fitness Equipment,303.15
PRDT_191,ADV020,Electronics,Laptops,2330.27
PRDT_192,ADV007,Fashion,Clothing,34.45
PRDT_193,ADV020,Electronics,Headphones,353.13
PRDT_194,ADV009,Electronics,Headphones,229.6
PRDT_195,ADV001,Electronics,Smartphones,414.28
PRDT_196,ADV008,Fashion,Shoes,141.04
PRDT_197,ADV007,Fashion,Clothing,197.74
PRDT_198,ADV018,Sports,Fitness Equipment,255.77
PRDT_199,ADV008,Fashion,Shoes,296.03
PRDT_200,ADV001,Electronics,Smartphones,689.76
